"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","condition","descriptor","pleasant_rating","unpleasant_rating","arousal_rating"
"544.1550000105053","<h2 style=""color:white; text-align:center;"">How calm/excited?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/7011.bmp'><img class='center' src='scale/BlankScaleArousal.png'>","51","html-keyboard-response","19","131437","0.0-2.0-8.0","arousal","","","","","3"
"null","<h2 style=""color:white; text-align:center;"">How calm/excited?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/7011.bmp'><img class='center' src='scale/ArousalScale3.jpg'>","null","html-keyboard-response","20","133439","0.0-2.0-9.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","21","134441","0.0-2.0-0.1","fixation","","","","",""
"null","","null","html-keyboard-response","22","137443","0.0-2.0-1.1","","neutral","man","","",""
"886.850000009872","<h2 style=""color:white; text-align:center;"">How positive?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2190.bmp'><img class='center' src='scale/BlankScalePleasant.png'>","52","html-keyboard-response","23","138331","0.0-2.0-2.1","pleasant","","","4","",""
"null","<h2 style=""color:white; text-align:center;"">How positive?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2190.bmp'><img class='center' src='scale/PleasantScale4.jpg'>","null","html-keyboard-response","24","140333","0.0-2.0-3.1","","","","","",""
"null","","null","html-keyboard-response","25","143335","0.0-2.0-4.1","","neutral","man","","",""
"559.6549999900162","<h2 style=""color:white; text-align:center;"">How negative?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2190.bmp'><img class='center' src='scale/BlankScaleUnpleasant.png'>","49","html-keyboard-response","26","143897","0.0-2.0-5.1","unpleasant","","","","1",""
"null","<h2 style=""color:white; text-align:center;"">How negative?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2190.bmp'><img class='center' src='scale/UnpleasantScale1.jpg'>","null","html-keyboard-response","27","145900","0.0-2.0-6.1","","","","","",""
"null","","null","html-keyboard-response","28","148902","0.0-2.0-7.1","","neutral","man","","",""
"415.6799999764189","<h2 style=""color:white; text-align:center;"">How calm/excited?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2190.bmp'><img class='center' src='scale/BlankScaleArousal.png'>","51","html-keyboard-response","29","149319","0.0-2.0-8.1","arousal","","","","","3"
"null","<h2 style=""color:white; text-align:center;"">How calm/excited?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2190.bmp'><img class='center' src='scale/ArousalScale3.jpg'>","null","html-keyboard-response","30","151322","0.0-2.0-9.1","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","31","152323","0.0-2.0-0.2","fixation","","","","",""
"null","","null","html-keyboard-response","32","155324","0.0-2.0-1.2","","positive","rollercoaster","","",""
"3501.425000024028","<h2 style=""color:white; text-align:center;"">How positive?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/8499.bmp'><img class='center' src='scale/BlankScalePleasant.png'>","51","html-keyboard-response","33","158827","0.0-2.0-2.2","pleasant","","","3","",""
"null","<h2 style=""color:white; text-align:center;"">How positive?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/8499.bmp'><img class='center' src='scale/PleasantScale3.jpg'>","null","html-keyboard-response","34","160830","0.0-2.0-3.2","","","","","",""
"null","","null","html-keyboard-response","35","163832","0.0-2.0-4.2","","positive","rollercoaster","","",""
"3353.965000016615","<h2 style=""color:white; text-align:center;"">How negative?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/8499.bmp'><img class='center' src='scale/BlankScaleUnpleasant.png'>","49","html-keyboard-response","36","167187","0.0-2.0-5.2","unpleasant","","","","1",""
"null","<h2 style=""color:white; text-align:center;"">How negative?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/8499.bmp'><img class='center' src='scale/UnpleasantScale1.jpg'>","null","html-keyboard-response","37","169190","0.0-2.0-6.2","","","","","",""
"null","","null","html-keyboard-response","38","172192","0.0-2.0-7.2","","positive","rollercoaster","","",""
"3130.1699999021366","<h2 style=""color:white; text-align:center;"">How calm/excited?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/8499.bmp'><img class='center' src='scale/BlankScaleArousal.png'>","50","html-keyboard-response","39","175324","0.0-2.0-8.2","arousal","","","","","2"
"null","<h2 style=""color:white; text-align:center;"">How calm/excited?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/8499.bmp'><img class='center' src='scale/ArousalScale2.jpg'>","null","html-keyboard-response","40","177326","0.0-2.0-9.2","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","41","178327","0.0-2.0-0.3","fixation","","","","",""
"null","","null","html-keyboard-response","42","181330","0.0-2.0-1.3","","negative","skeleton","","",""
"2213.839999982156","<h2 style=""color:white; text-align:center;"">How positive?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/9445.bmp'><img class='center' src='scale/BlankScalePleasant.png'>","49","html-keyboard-response","43","183547","0.0-2.0-2.3","pleasant","","","1","",""
"null","<h2 style=""color:white; text-align:center;"">How positive?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/9445.bmp'><img class='center' src='scale/PleasantScale1.jpg'>","null","html-keyboard-response","44","185549","0.0-2.0-3.3","","","","","",""
"null","","null","html-keyboard-response","45","188551","0.0-2.0-4.3","","negative","skeleton","","",""
"1293.2450000662357","<h2 style=""color:white; text-align:center;"">How negative?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/9445.bmp'><img class='center' src='scale/BlankScaleUnpleasant.png'>","51","html-keyboard-response","46","189846","0.0-2.0-5.3","unpleasant","","","","3",""
"934.6300000324845","<h2 style=""color:white; text-align:center;"">How negative?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/9445.bmp'><img class='center' src='scale/UnpleasantScale3.jpg'>","52","html-keyboard-response","47","191848","0.0-2.0-6.3","","","","","",""
"null","","null","html-keyboard-response","48","194850","0.0-2.0-7.3","","negative","skeleton","","",""
"4055.2049999823794","<h2 style=""color:white; text-align:center;"">How calm/excited?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/9445.bmp'><img class='center' src='scale/BlankScaleArousal.png'>","52","html-keyboard-response","49","198907","0.0-2.0-8.3","arousal","","","","","4"
"null","<h2 style=""color:white; text-align:center;"">How calm/excited?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/9445.bmp'><img class='center' src='scale/ArousalScale4.jpg'>","null","html-keyboard-response","50","200910","0.0-2.0-9.3","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","51","201911","0.0-2.0-0.4","fixation","","","","",""
"null","","null","html-keyboard-response","52","204913","0.0-2.0-1.4","","negative","stitches","","",""
"1619.6950000012293","<h2 style=""color:white; text-align:center;"">How positive?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/3195.bmp'><img class='center' src='scale/BlankScalePleasant.png'>","49","html-keyboard-response","53","206534","0.0-2.0-2.4","pleasant","","","1","",""
"null","<h2 style=""color:white; text-align:center;"">How positive?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/3195.bmp'><img class='center' src='scale/PleasantScale1.jpg'>","null","html-keyboard-response","54","208536","0.0-2.0-3.4","","","","","",""
"null","","null","html-keyboard-response","55","211539","0.0-2.0-4.4","","negative","stitches","","",""
"1271.7450000345707","<h2 style=""color:white; text-align:center;"">How negative?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/3195.bmp'><img class='center' src='scale/BlankScaleUnpleasant.png'>","53","html-keyboard-response","56","212813","0.0-2.0-5.4","unpleasant","","","","5",""
"null","<h2 style=""color:white; text-align:center;"">How negative?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/3195.bmp'><img class='center' src='scale/UnpleasantScale5.jpg'>","null","html-keyboard-response","57","214815","0.0-2.0-6.4","","","","","",""
"null","","null","html-keyboard-response","58","217818","0.0-2.0-7.4","","negative","stitches","","",""
"1578.3700000029057","<h2 style=""color:white; text-align:center;"">How calm/excited?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/3195.bmp'><img class='center' src='scale/BlankScaleArousal.png'>","52","html-keyboard-response","59","219398","0.0-2.0-8.4","arousal","","","","","4"
"null","<h2 style=""color:white; text-align:center;"">How calm/excited?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/3195.bmp'><img class='center' src='scale/ArousalScale4.jpg'>","null","html-keyboard-response","60","221400","0.0-2.0-9.4","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","61","222403","0.0-2.0-0.5","fixation","","","","",""
"null","","null","html-keyboard-response","62","225405","0.0-2.0-1.5","","negative","funeral","","",""
"1751.769999973476","<h2 style=""color:white; text-align:center;"">How positive?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2799.bmp'><img class='center' src='scale/BlankScalePleasant.png'>","49","html-keyboard-response","63","227160","0.0-2.0-2.5","pleasant","","","1","",""
"null","<h2 style=""color:white; text-align:center;"">How positive?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2799.bmp'><img class='center' src='scale/PleasantScale1.jpg'>","null","html-keyboard-response","64","229162","0.0-2.0-3.5","","","","","",""
"null","","null","html-keyboard-response","65","232164","0.0-2.0-4.5","","negative","funeral","","",""
"635.7350000180304","<h2 style=""color:white; text-align:center;"">How negative?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2799.bmp'><img class='center' src='scale/BlankScaleUnpleasant.png'>","51","html-keyboard-response","66","232802","0.0-2.0-5.5","unpleasant","","","","3",""
"null","<h2 style=""color:white; text-align:center;"">How negative?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2799.bmp'><img class='center' src='scale/UnpleasantScale3.jpg'>","null","html-keyboard-response","67","234804","0.0-2.0-6.5","","","","","",""
"null","","null","html-keyboard-response","68","237806","0.0-2.0-7.5","","negative","funeral","","",""
"2819.2099999869242","<h2 style=""color:white; text-align:center;"">How calm/excited?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2799.bmp'><img class='center' src='scale/BlankScaleArousal.png'>","50","html-keyboard-response","69","240630","0.0-2.0-8.5","arousal","","","","","2"
"null","<h2 style=""color:white; text-align:center;"">How calm/excited?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2799.bmp'><img class='center' src='scale/ArousalScale2.jpg'>","null","html-keyboard-response","70","242631","0.0-2.0-9.5","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","71","243633","0.0-2.0-0.6","fixation","","","","",""
"null","","null","html-keyboard-response","72","246635","0.0-2.0-1.6","","positive","skydivers","","",""
"6720.209999941289","<h2 style=""color:white; text-align:center;"">How positive?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/8185.bmp'><img class='center' src='scale/BlankScalePleasant.png'>","51","html-keyboard-response","73","253357","0.0-2.0-2.6","pleasant","","","3","",""
"null","<h2 style=""color:white; text-align:center;"">How positive?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/8185.bmp'><img class='center' src='scale/PleasantScale3.jpg'>","null","html-keyboard-response","74","255360","0.0-2.0-3.6","","","","","",""
"null","","null","html-keyboard-response","75","258362","0.0-2.0-4.6","","positive","skydivers","","",""
"5594.600000069477","<h2 style=""color:white; text-align:center;"">How negative?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/8185.bmp'><img class='center' src='scale/BlankScaleUnpleasant.png'>","49","html-keyboard-response","76","263958","0.0-2.0-5.6","unpleasant","","","","1",""
"null","<h2 style=""color:white; text-align:center;"">How negative?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/8185.bmp'><img class='center' src='scale/UnpleasantScale1.jpg'>","null","html-keyboard-response","77","265960","0.0-2.0-6.6","","","","","",""
"null","","null","html-keyboard-response","78","268962","0.0-2.0-7.6","","positive","skydivers","","",""
"2875.3299999516457","<h2 style=""color:white; text-align:center;"">How calm/excited?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/8185.bmp'><img class='center' src='scale/BlankScaleArousal.png'>","53","html-keyboard-response","79","271839","0.0-2.0-8.6","arousal","","","","","5"
"null","<h2 style=""color:white; text-align:center;"">How calm/excited?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/8185.bmp'><img class='center' src='scale/ArousalScale5.jpg'>","null","html-keyboard-response","80","273841","0.0-2.0-9.6","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","81","274843","0.0-2.0-0.7","fixation","","","","",""
"null","","null","html-keyboard-response","82","277844","0.0-2.0-1.7","","positive","boys","","",""
"1600.3799999598414","<h2 style=""color:white; text-align:center;"">How positive?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2224.bmp'><img class='center' src='scale/BlankScalePleasant.png'>","52","html-keyboard-response","83","279447","0.0-2.0-2.7","pleasant","","","4","",""
"null","<h2 style=""color:white; text-align:center;"">How positive?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2224.bmp'><img class='center' src='scale/PleasantScale4.jpg'>","null","html-keyboard-response","84","281449","0.0-2.0-3.7","","","","","",""
"null","","null","html-keyboard-response","85","284450","0.0-2.0-4.7","","positive","boys","","",""
"613.5250000515953","<h2 style=""color:white; text-align:center;"">How negative?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2224.bmp'><img class='center' src='scale/BlankScaleUnpleasant.png'>","49","html-keyboard-response","86","285066","0.0-2.0-5.7","unpleasant","","","","1",""
"null","<h2 style=""color:white; text-align:center;"">How negative?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2224.bmp'><img class='center' src='scale/UnpleasantScale1.jpg'>","null","html-keyboard-response","87","287069","0.0-2.0-6.7","","","","","",""
"null","","null","html-keyboard-response","88","290071","0.0-2.0-7.7","","positive","boys","","",""
"7035.455000004731","<h2 style=""color:white; text-align:center;"">How calm/excited?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2224.bmp'><img class='center' src='scale/BlankScaleArousal.png'>","53","html-keyboard-response","89","297107","0.0-2.0-8.7","arousal","","","","","5"
"null","<h2 style=""color:white; text-align:center;"">How calm/excited?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2224.bmp'><img class='center' src='scale/ArousalScale5.jpg'>","null","html-keyboard-response","90","299110","0.0-2.0-9.7","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","91","300110","0.0-2.0-0.8","fixation","","","","",""
"null","","null","html-keyboard-response","92","303112","0.0-2.0-1.8","","positive","romance","","",""
"1918.1899999966845","<h2 style=""color:white; text-align:center;"">How positive?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/4622.bmp'><img class='center' src='scale/BlankScalePleasant.png'>","52","html-keyboard-response","93","305032","0.0-2.0-2.8","pleasant","","","4","",""
"null","<h2 style=""color:white; text-align:center;"">How positive?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/4622.bmp'><img class='center' src='scale/PleasantScale4.jpg'>","null","html-keyboard-response","94","307035","0.0-2.0-3.8","","","","","",""
"null","","null","html-keyboard-response","95","310040","0.0-2.0-4.8","","positive","romance","","",""
"2380.615000030957","<h2 style=""color:white; text-align:center;"">How negative?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/4622.bmp'><img class='center' src='scale/BlankScaleUnpleasant.png'>","49","html-keyboard-response","96","312424","0.0-2.0-5.8","unpleasant","","","","1",""
"null","<h2 style=""color:white; text-align:center;"">How negative?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/4622.bmp'><img class='center' src='scale/UnpleasantScale1.jpg'>","null","html-keyboard-response","97","314425","0.0-2.0-6.8","","","","","",""
"null","","null","html-keyboard-response","98","317428","0.0-2.0-7.8","","positive","romance","","",""
"2855.8650000486523","<h2 style=""color:white; text-align:center;"">How calm/excited?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/4622.bmp'><img class='center' src='scale/BlankScaleArousal.png'>","50","html-keyboard-response","99","320286","0.0-2.0-8.8","arousal","","","","","2"
"null","<h2 style=""color:white; text-align:center;"">How calm/excited?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/4622.bmp'><img class='center' src='scale/ArousalScale2.jpg'>","null","html-keyboard-response","100","322288","0.0-2.0-9.8","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","101","323289","0.0-2.0-0.9","fixation","","","","",""
"null","","null","html-keyboard-response","102","326290","0.0-2.0-1.9","","negative","drunkDriving","","",""
"2567.564999917522","<h2 style=""color:white; text-align:center;"">How positive?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2751.bmp'><img class='center' src='scale/BlankScalePleasant.png'>","49","html-keyboard-response","103","328859","0.0-2.0-2.9","pleasant","","","1","",""
"null","<h2 style=""color:white; text-align:center;"">How positive?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2751.bmp'><img class='center' src='scale/PleasantScale1.jpg'>","null","html-keyboard-response","104","330862","0.0-2.0-3.9","","","","","",""
"null","","null","html-keyboard-response","105","333865","0.0-2.0-4.9","","negative","drunkDriving","","",""
"990.8949999371544","<h2 style=""color:white; text-align:center;"">How negative?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2751.bmp'><img class='center' src='scale/BlankScaleUnpleasant.png'>","51","html-keyboard-response","106","334858","0.0-2.0-5.9","unpleasant","","","","3",""
"null","<h2 style=""color:white; text-align:center;"">How negative?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2751.bmp'><img class='center' src='scale/UnpleasantScale3.jpg'>","null","html-keyboard-response","107","336860","0.0-2.0-6.9","","","","","",""
"null","","null","html-keyboard-response","108","339862","0.0-2.0-7.9","","negative","drunkDriving","","",""
"2976.2650000629947","<h2 style=""color:white; text-align:center;"">How calm/excited?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2751.bmp'><img class='center' src='scale/BlankScaleArousal.png'>","53","html-keyboard-response","109","342841","0.0-2.0-8.9","arousal","","","","","5"
"null","<h2 style=""color:white; text-align:center;"">How calm/excited?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2751.bmp'><img class='center' src='scale/ArousalScale5.jpg'>","null","html-keyboard-response","110","344843","0.0-2.0-9.9","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","111","345844","0.0-2.0-0.10","fixation","","","","",""
"null","","null","html-keyboard-response","112","348846","0.0-2.0-1.10","","negative","hospital","","",""
"2459.165000007488","<h2 style=""color:white; text-align:center;"">How positive?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2205.bmp'><img class='center' src='scale/BlankScalePleasant.png'>","49","html-keyboard-response","113","351307","0.0-2.0-2.10","pleasant","","","1","",""
"null","<h2 style=""color:white; text-align:center;"">How positive?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2205.bmp'><img class='center' src='scale/PleasantScale1.jpg'>","null","html-keyboard-response","114","353308","0.0-2.0-3.10","","","","","",""
"null","","null","html-keyboard-response","115","356310","0.0-2.0-4.10","","negative","hospital","","",""
"4557.170000043698","<h2 style=""color:white; text-align:center;"">How negative?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2205.bmp'><img class='center' src='scale/BlankScaleUnpleasant.png'>","52","html-keyboard-response","116","360869","0.0-2.0-5.10","unpleasant","","","","4",""
"null","<h2 style=""color:white; text-align:center;"">How negative?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2205.bmp'><img class='center' src='scale/UnpleasantScale4.jpg'>","null","html-keyboard-response","117","362871","0.0-2.0-6.10","","","","","",""
"null","","null","html-keyboard-response","118","365873","0.0-2.0-7.10","","negative","hospital","","",""
"2321.959999972023","<h2 style=""color:white; text-align:center;"">How calm/excited?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2205.bmp'><img class='center' src='scale/BlankScaleArousal.png'>","50","html-keyboard-response","119","368197","0.0-2.0-8.10","arousal","","","","","2"
"null","<h2 style=""color:white; text-align:center;"">How calm/excited?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2205.bmp'><img class='center' src='scale/ArousalScale2.jpg'>","null","html-keyboard-response","120","370200","0.0-2.0-9.10","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","121","371202","0.0-2.0-0.11","fixation","","","","",""
"null","","null","html-keyboard-response","122","374204","0.0-2.0-1.11","","positive","beach","","",""
"2567.494999966584","<h2 style=""color:white; text-align:center;"">How positive?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/5836.bmp'><img class='center' src='scale/BlankScalePleasant.png'>","51","html-keyboard-response","123","376774","0.0-2.0-2.11","pleasant","","","3","",""
"null","<h2 style=""color:white; text-align:center;"">How positive?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/5836.bmp'><img class='center' src='scale/PleasantScale3.jpg'>","null","html-keyboard-response","124","378776","0.0-2.0-3.11","","","","","",""
"null","","null","html-keyboard-response","125","381778","0.0-2.0-4.11","","positive","beach","","",""
"535.1899999659508","<h2 style=""color:white; text-align:center;"">How negative?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/5836.bmp'><img class='center' src='scale/BlankScaleUnpleasant.png'>","50","html-keyboard-response","126","382315","0.0-2.0-5.11","unpleasant","","","","2",""
"null","<h2 style=""color:white; text-align:center;"">How negative?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/5836.bmp'><img class='center' src='scale/UnpleasantScale2.jpg'>","null","html-keyboard-response","127","384317","0.0-2.0-6.11","","","","","",""
"null","","null","html-keyboard-response","128","387319","0.0-2.0-7.11","","positive","beach","","",""
"484.94999995455146","<h2 style=""color:white; text-align:center;"">How calm/excited?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/5836.bmp'><img class='center' src='scale/BlankScaleArousal.png'>","52","html-keyboard-response","129","387805","0.0-2.0-8.11","arousal","","","","","4"
"null","<h2 style=""color:white; text-align:center;"">How calm/excited?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/5836.bmp'><img class='center' src='scale/ArousalScale4.jpg'>","null","html-keyboard-response","130","389807","0.0-2.0-9.11","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","131","390809","0.0-2.0-0.12","fixation","","","","",""
